stdYymm,nationCode,mprcExipitmCode,imxprtSeCode,nationNm,ecoblNm,mprcExipitmNm,imxprtSeNm,imxprtWt,imxprtDollarAmount
202201,TW,2102203090,I,대만,아시아.태평양 경제협력체,클로렐라 효모,수입,1500,24979
202201,JP,2102203090,I,일본,아시아.태평양 경제협력체/경제협력개발기구,클로렐라 효모,수입,108,1553
202201,US,2102203090,I,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,클로렐라 효모,수입,2.753,103
202201,CA,2102204010,I,캐나다,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,스리루리나 효모,수입,727.2,16968
202201,CN,2102204010,I,중국,아시아.태평양 경제협력체,스리루리나 효모,수입,4000,60149
202201,FR,2102204090,I,프랑스,유럽연합/경제협력개발기구,스리루리나 효모,수입,400,35852
202201,US,2102204090,I,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,스리루리나 효모,수입,5112.35,157402
202201,AU,2102204090,I,오스트레일리아,아시아.태평양 경제협력체/경제협력개발기구,스리루리나 효모,수입,863.72,47744
202201,GB,2102204090,I,영국,유럽연합/경제협력개발기구,스리루리나 효모,수입,.2,6
202201,FR,0106199000,I,프랑스,유럽연합/경제협력개발기구,포유동물,수입,80,64332
202201,HK,0106199000,I,홍콩,아시아.태평양 경제협력체,포유동물,수입,4,1575
202201,NL,0106199000,I,네덜란드,유럽연합/경제협력개발기구,포유동물,수입,3,816
202201,RU,0106199000,I,러시아,,포유동물,수입,38,10463
202201,JP,0106199000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,포유동물,수입,1833,270260
202201,PH,0106199000,I,필리핀,동남아국가연합/아시아.태평양 경제협력체,포유동물,수입,4,527
202201,US,0106199000,I,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,포유동물,수입,184.1,299591
202201,UZ,0106199000,I,우즈베키스탄,,포유동물,수입,18,5233
202201,CN,0106199000,I,중국,아시아.태평양 경제협력체,포유동물,수입,3457.45,380905
202201,MY,0106199000,I,말레이시아,동남아국가연합/아시아.태평양 경제협력체,포유동물,수입,16,529
202201,GB,0106199000,I,영국,유럽연합/경제협력개발기구,포유동물,수입,12,17511
202201,TH,0210999090,I,태국,동남아국가연합/아시아.태평양 경제협력체,육·설육,수입,22,294
202201,NZ,0210999090,I,뉴질랜드,아시아.태평양 경제협력체/경제협력개발기구,육·설육,수입,1.5,4063
202201,CN,0303895020,I,중국,아시아.태평양 경제협력체,조기,수입,1928445.8,8876976
202201,GN,0303399000,I,기니,,넙치류,수입,84233.8,311688
202201,RU,0303399000,I,러시아,,넙치류,수입,174572,330037
202201,SL,0303399000,I,시에라리온,,넙치류,수입,18811,71651
202201,US,0303399000,I,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,넙치류,수입,206144,318492
202201,SN,0303399000,I,세네갈,,넙치류,수입,26200,79275
202201,CN,0303399000,E,중국,아시아.태평양 경제협력체,넙치류,수출,40,573
202201,CN,0303399000,I,중국,아시아.태평양 경제협력체,넙치류,수입,93300,522470
202201,US,0303895010,E,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,조기,수출,897.84,6186
202201,SG,0303895010,E,싱가포르,동남아국가연합/아시아.태평양 경제협력체,조기,수출,10.8,105
202201,CN,0303895010,I,중국,아시아.태평양 경제협력체,조기,수입,123609.5,510903
202201,FR,2008995010,E,프랑스,유럽연합/경제협력개발기구,김,수출,17652.785,491326
202201,MX,2008995010,E,멕시코,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,김,수출,5056.48,188802
202201,AT,2008995010,E,오스트리아,유럽연합/경제협력개발기구,김,수출,10.8,421
202201,MM,2008995010,E,미얀마,동남아국가연합,김,수출,2241.508,68629
202201,BG,2008995010,E,불가리아,유럽연합,김,수출,683.6,19809
202201,SA,2008995010,E,사우디아라비아,걸프협력회의,김,수출,8.8,21
202201,IE,2008995010,E,아일랜드,유럽연합/경제협력개발기구,김,수출,391.2,12761
202201,IT,2008995010,E,이탈리아,유럽연합/경제협력개발기구,김,수출,2873.92,73689
202201,CZ,2008995010,E,체코,유럽연합,김,수출,151.2,4005
202201,PY,2008995010,E,파라과이,남미공동시장,김,수출,8298,17872
202201,KH,2008995010,E,캄보디아,동남아국가연합,김,수출,5986.84,61732
202201,KZ,2008995010,E,카자흐스탄,,김,수출,3878.44,93295
202201,HK,2008995010,E,홍콩,아시아.태평양 경제협력체,김,수출,21454.24,361516
202201,HK,2008995010,I,홍콩,아시아.태평양 경제협력체,김,수입,.34,4
202201,QA,2008995010,E,카타르,걸프협력회의,김,수출,415.1,12155
202201,ZA,2008995010,E,남아프리카공화국,,김,수출,591.74,23652
202201,WS,2008995010,E,사모아,,김,수출,8.6,334
202201,IQ,2008995010,E,이라크,,김,수출,519.835,9306
202201,DE,2008995010,E,독일,유럽연합/경제협력개발기구,김,수출,42350.58,1116916
202201,NP,2008995010,E,네팔,,김,수출,901.6,21525
202201,LA,2008995010,E,라오스,동남아국가연합,김,수출,639.3,8873
202201,TW,2008995010,E,대만,아시아.태평양 경제협력체,김,수출,45397.856,1157036
202201,SE,2008995010,E,스웨덴,유럽연합/경제협력개발기구,김,수출,2615.44,65570
202201,NL,2008995010,E,네덜란드,유럽연합/경제협력개발기구,김,수출,9666.371,287095
202201,BE,2008995010,E,벨기에,유럽연합/경제협력개발기구,김,수출,2357.5,54175
202201,MN,2008995010,E,몽골,,김,수출,10912.83,206470
202201,CA,2008995010,E,캐나다,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,김,수출,70830.956,2451289
202201,LT,2008995010,E,리투아니아,유럽연합,김,수출,2748.96,77325
202201,BD,2008995010,E,방글라데시,,김,수출,44.4,2615
202201,RU,2008995010,E,러시아,,김,수출,45386.968,1040748
202201,TH,2008995010,E,태국,동남아국가연합/아시아.태평양 경제협력체,김,수출,24472.39,485571
202201,TH,2008995010,I,태국,동남아국가연합/아시아.태평양 경제협력체,김,수입,216.083,10362
202201,IN,2008995010,E,인도,,김,수출,286,7036
202201,ID,2008995010,E,인도네시아,동남아국가연합/아시아.태평양 경제협력체,김,수출,8698.77,305915
202201,VN,2008995010,E,베트남,동남아국가연합,김,수출,43140.77,615363
202201,VN,2008995010,I,베트남,동남아국가연합,김,수입,17.783,118
202201,GU,2008995010,E,괌,,김,수출,730.078,18178
202201,JP,2008995010,E,일본,아시아.태평양 경제협력체/경제협력개발기구,김,수출,259805.364,6011247
202201,JP,2008995010,I,일본,아시아.태평양 경제협력체/경제협력개발기구,김,수입,1153.092,20505
202201,BN,2008995010,E,브루나이,동남아국가연합/아시아.태평양 경제협력체,김,수출,42,2604
202201,PH,2008995010,E,필리핀,동남아국가연합/아시아.태평양 경제협력체,김,수출,46154.563,793836
202201,BO,2008995010,E,볼리비아,,김,수출,889.88,23497
202201,GH,2008995010,E,가나,,김,수출,3,176
202201,PT,2008995010,E,포르투갈,유럽연합/경제협력개발기구,김,수출,10.37,468
202201,NZ,2008995010,E,뉴질랜드,아시아.태평양 경제협력체/경제협력개발기구,김,수출,14506.326,505766
202201,CH,2008995010,E,스위스,경제협력개발기구/유럽자유무역연합,김,수출,1623.76,63721
202201,AE,2008995010,E,아랍에미리트,걸프협력회의,김,수출,1403.92,44537
202201,GT,2008995010,E,과테말라,,김,수출,156.68,2515
202201,US,2008995010,E,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,김,수출,425879.511,13247795
202201,US,2008995010,I,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,김,수입,9.622,269
202201,BT,2008995010,E,부탄,,김,수출,65.2,1166
202201,UA,2008995010,E,우크라이나,,김,수출,8027.4,179810
202201,BR,2008995010,E,브라질,남미공동시장,김,수출,7067.44,138276
202201,PW,2008995010,E,팔라우,,김,수출,44,195
202201,EG,2008995010,E,이집트,,김,수출,2.5,30
202201,AU,2008995010,E,오스트레일리아,아시아.태평양 경제협력체/경제협력개발기구,김,수출,85864.671,2326091
202201,AU,2008995010,I,오스트레일리아,아시아.태평양 경제협력체/경제협력개발기구,김,수입,.702,25
202201,IL,2008995010,E,이스라엘,,김,수출,1864.58,54702
202201,SG,2008995010,E,싱가포르,동남아국가연합/아시아.태평양 경제협력체,김,수출,12778.459,379515
202201,PL,2008995010,E,폴란드,유럽연합,김,수출,16068.18,445564
202201,CN,2008995010,E,중국,아시아.태평양 경제협력체,김,수출,141539.939,5632978
202201,CN,2008995010,I,중국,아시아.태평양 경제협력체,김,수입,75.925,405
202201,KW,2008995010,E,쿠웨이트,걸프협력회의,김,수출,264,11400
202201,MY,2008995010,E,말레이시아,동남아국가연합/아시아.태평양 경제협력체,김,수출,13913.48,388488
202201,MY,2008995010,I,말레이시아,동남아국가연합/아시아.태평양 경제협력체,김,수입,.45,19
202201,MO,2008995010,E,마카오,,김,수출,120,1068
202201,CL,2008995010,E,칠레,아시아.태평양 경제협력체,김,수출,85.736,2113
202201,GB,2008995010,E,영국,유럽연합/경제협력개발기구,김,수출,17851.33,524930
202201,MP,2008995010,E,북마리아나제도,,김,수출,588.02,19977
202201,FJ,2008995010,E,피지,,김,수출,582.6,18901
202201,ES,2008995010,E,스페인,유럽연합/경제협력개발기구,김,수출,1247.4,35896
202201,NO,0304895000,I,노르웨이,경제협력개발기구/유럽자유무역연합,고등어,수입,153369,781239
202201,VN,0305720000,I,베트남,동남아국가연합,대구,수입,36708,139055
202201,US,0305720000,E,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,대구,수출,19.2,855
202201,CN,0301939000,I,중국,아시아.태평양 경제협력체,잉어,수입,126380,423039
202201,JP,0301994091,I,일본,아시아.태평양 경제협력체/경제협력개발기구,돔,수입,210385,1734861
202201,ID,0301994099,I,인도네시아,동남아국가연합/아시아.태평양 경제협력체,돔,수입,2,185
202201,JP,0301994099,I,일본,아시아.태평양 경제협력체/경제협력개발기구,돔,수입,9537,96235
202201,SG,0301994099,E,싱가포르,동남아국가연합/아시아.태평양 경제협력체,돔,수출,152,1783
202201,CN,0301994099,I,중국,아시아.태평양 경제협력체,돔,수입,34307,411506
202201,TH,0304480000,E,태국,동남아국가연합/아시아.태평양 경제협력체,가오리와 홍어,수출,12,146
202201,CA,0305531000,E,캐나다,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,어류,수출,56.8,1740
202201,RU,0305531000,I,러시아,,어류,수입,473807,5196397
202201,ID,0305531000,E,인도네시아,동남아국가연합/아시아.태평양 경제협력체,어류,수출,23,430
202201,VN,0305531000,I,베트남,동남아국가연합,어류,수입,16550,256180
202201,GU,0305531000,E,괌,,어류,수출,30,654
202201,NZ,0305531000,E,뉴질랜드,아시아.태평양 경제협력체/경제협력개발기구,어류,수출,205.32,5830
202201,US,0305531000,E,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,어류,수출,12009.42,184750
202201,US,0305531000,I,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,어류,수입,.2,18
202201,PW,0305531000,E,팔라우,,어류,수출,50,231
202201,AU,0305531000,E,오스트레일리아,아시아.태평양 경제협력체/경제협력개발기구,어류,수출,337.2,8290
202201,CN,0305531000,I,중국,아시아.태평양 경제협력체,어류,수입,28349.27,344925
202201,MP,0305531000,E,북마리아나제도,,어류,수출,120,2613
202201,CN,0305539000,I,중국,아시아.태평양 경제협력체,어류,수입,.96,10
202201,RU,0307219000,I,러시아,,가리비과,수입,7954,37025
202201,VN,0307219000,E,베트남,동남아국가연합,가리비과,수출,2200,30661
202201,JP,0307219000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,가리비과,수입,888717,3736208
202201,SG,0307219000,E,싱가포르,동남아국가연합/아시아.태평양 경제협력체,가리비과,수출,200,3407
202201,CN,0307219000,I,중국,아시아.태평양 경제협력체,가리비과,수입,89400,157874
202201,IE,0307221000,I,아일랜드,유럽연합/경제협력개발기구,가리비과,수입,256,8138
202201,MN,0307221000,E,몽골,,가리비과,수출,180,1796
202201,VN,0307221000,I,베트남,동남아국가연합,가리비과,수입,562.24,3619
202201,CN,0307221000,I,중국,아시아.태평양 경제협력체,가리비과,수입,38452,182159
202201,HK,0307299000,I,홍콩,아시아.태평양 경제협력체,가리비과,수입,.1,15
202201,TH,0307299000,I,태국,동남아국가연합/아시아.태평양 경제협력체,가리비과,수입,34.44,241
202201,JP,0307299000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,가리비과,수입,420,39923
202201,NZ,0309100000,I,뉴질랜드,아시아.태평양 경제협력체/경제협력개발기구,식용어류분,수입,1100,22683
202201,CN,0309100000,I,중국,아시아.태평양 경제협력체,식용어류분,수입,6000,12261
202201,NO,0309100000,I,노르웨이,경제협력개발기구/유럽자유무역연합,식용어류분,수입,9600,42240
202201,SG,1604180000,I,싱가포르,동남아국가연합/아시아.태평양 경제협력체,상어지느러미,수입,1020,204821
202201,CN,1604180000,I,중국,아시아.태평양 경제협력체,상어지느러미,수입,909.5,51831
202201,CA,1605520000,E,캐나다,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,가리비과,수출,100,1447
202201,JP,1605520000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,가리비과,수입,20.76,390
202201,US,1605520000,E,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,가리비과,수출,20,144
202201,US,1605520000,I,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,가리비과,수입,18000.5,441050
202201,CN,1605520000,I,중국,아시아.태평양 경제협력체,가리비과,수입,168765.76,994604
202201,SA,1605541000,E,사우디아라비아,걸프협력회의,갑오징어,수출,1.5,5
202201,TW,1605541000,I,대만,아시아.태평양 경제협력체,갑오징어,수입,270,1198
202201,AU,1605541000,E,오스트레일리아,아시아.태평양 경제협력체/경제협력개발기구,갑오징어,수출,175,2230
202201,CN,1605541000,I,중국,아시아.태평양 경제협력체,갑오징어,수입,21600,48496
202201,HK,1605550000,E,홍콩,아시아.태평양 경제협력체,문어,수출,679.8,8402
202201,CA,1605550000,E,캐나다,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,문어,수출,136.8,2354
202201,ID,1605550000,I,인도네시아,동남아국가연합/아시아.태평양 경제협력체,문어,수입,3.6,106
202201,VN,1605550000,E,베트남,동남아국가연합,문어,수출,6,211
202201,VN,1605550000,I,베트남,동남아국가연합,문어,수입,40194.3,473270
202201,JP,1605550000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,문어,수출,3000,25980
202201,PH,1605550000,I,필리핀,동남아국가연합/아시아.태평양 경제협력체,문어,수입,4660,61452
202201,NZ,1605550000,E,뉴질랜드,아시아.태평양 경제협력체/경제협력개발기구,문어,수출,1045,15029
202201,US,1605550000,E,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,문어,수출,2150,22060
202201,SG,1605550000,E,싱가포르,동남아국가연합/아시아.태평양 경제협력체,문어,수출,100.8,1726
202201,CN,1605550000,I,중국,아시아.태평양 경제협력체,문어,수입,412043.2,2542939
202201,MY,1605550000,E,말레이시아,동남아국가연합/아시아.태평양 경제협력체,문어,수출,10.8,157
202201,HK,1605690000,E,홍콩,아시아.태평양 경제협력체,조제저장처리수생무척추동물,수출,390,8335
202201,TH,1605690000,I,태국,동남아국가연합/아시아.태평양 경제협력체,조제저장처리수생무척추동물,수입,1734.08,14943
202201,NG,1605690000,E,나이지리아,,조제저장처리수생무척추동물,수출,407.69,4569
202201,VN,1605690000,I,베트남,동남아국가연합,조제저장처리수생무척추동물,수입,1408.412,19933
202201,JP,1605690000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,조제저장처리수생무척추동물,수입,.3,13
202201,NZ,1605690000,E,뉴질랜드,아시아.태평양 경제협력체/경제협력개발기구,조제저장처리수생무척추동물,수출,400,1765
202201,US,1605690000,E,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,조제저장처리수생무척추동물,수출,90,1664
202201,AU,1605690000,E,오스트레일리아,아시아.태평양 경제협력체/경제협력개발기구,조제저장처리수생무척추동물,수출,985,4447
202201,SG,1605690000,E,싱가포르,동남아국가연합/아시아.태평양 경제협력체,조제저장처리수생무척추동물,수출,96.26,1348
202201,CN,1605690000,I,중국,아시아.태평양 경제협력체,조제저장처리수생무척추동물,수입,6010.24,64264
202201,PE,0306179091,I,페루,,흰다리새우,수입,148296,1123409
202201,SA,0306179091,I,사우디아라비아,걸프협력회의,흰다리새우,수입,24400,138426
202201,AR,0306179091,I,아르헨티나,남미공동시장,흰다리새우,수입,6300,58599
202201,TH,0306179091,I,태국,동남아국가연합/아시아.태평양 경제협력체,흰다리새우,수입,21240,171394
202201,EC,0306179091,I,에콰도르,,흰다리새우,수입,826632,5739816
202201,VN,0306179091,I,베트남,동남아국가연합,흰다리새우,수입,20619.41,183019
202201,MY,0306179091,I,말레이시아,동남아국가연합/아시아.태평양 경제협력체,흰다리새우,수입,166590,1175406
202201,CN,0307711000,I,중국,아시아.태평양 경제협력체,백합,수입,1314380,1828075
202201,PH,0303895090,E,필리핀,동남아국가연합/아시아.태평양 경제협력체,조기,수출,68.3,987
202201,US,0303895090,E,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,조기,수출,1180,7513
202201,CN,0303895090,I,중국,아시아.태평양 경제협력체,조기,수입,94542,530412
202201,CN,0303893020,I,중국,아시아.태평양 경제협력체,옥두어,수입,16704,95792
202201,VN,0307211000,E,베트남,동남아국가연합,가리비과,수출,4150,71475
202201,MY,0307211000,E,말레이시아,동남아국가연합/아시아.태평양 경제협력체,가리비과,수출,60,1078
202201,JP,0307229000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,가리비과,수입,7010,11997
202201,CN,0307229000,I,중국,아시아.태평양 경제협력체,가리비과,수입,79896,503265
202201,GN,0303391000,I,기니,,넙치류,수입,30069,119293
202201,IT,0303391000,I,이탈리아,유럽연합/경제협력개발기구,넙치류,수입,19782,59026
202201,RU,0303391000,I,러시아,,넙치류,수입,1018695,2165861
202201,VN,0303391000,E,베트남,동남아국가연합,넙치류,수출,38000,64240
202201,US,0303391000,E,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,넙치류,수출,2025,8117
202201,US,0303391000,I,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,넙치류,수입,2503475,3857322
202201,CN,0303391000,I,중국,아시아.태평양 경제협력체,넙치류,수입,68750,166803
202201,CN,0301931000,I,중국,아시아.태평양 경제협력체,붕어,수입,3565,13876
202201,TH,0306930000,I,태국,동남아국가연합/아시아.태평양 경제협력체,게,수입,1800,12974
202201,GN,0306179099,I,기니,,,수입,18030.5,157867
202201,PE,0306179099,I,페루,,,수입,21000,130932
202201,HK,0306179099,E,홍콩,아시아.태평양 경제협력체,,수출,3,544
202201,AR,0306179099,I,아르헨티나,남미공동시장,,수입,126102,1283711
202201,IN,0306179099,I,인도,,,수입,15300,141984
202201,EC,0306179099,I,에콰도르,,,수입,24312,169484
202201,VN,0306179099,E,베트남,동남아국가연합,,수출,11452,51574
202201,VN,0306179099,I,베트남,동남아국가연합,,수입,5382.447,52602
202201,PH,0306179099,I,필리핀,동남아국가연합/아시아.태평양 경제협력체,,수입,8140.8,85216
202201,US,0306179099,E,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,,수출,48000,54420
202201,CN,0306179099,I,중국,아시아.태평양 경제협력체,,수입,41310,255488
202201,MY,0306179099,I,말레이시아,동남아국가연합/아시아.태평양 경제협력체,,수입,261261.5,2834310
202201,SA,2008995090,E,사우디아라비아,걸프협력회의,조제한 해조류 김 제,수출,2,13
202201,DK,2008995090,I,덴마크,유럽연합/경제협력개발기구,조제한 해조류 김 제,수입,7.2,45
202201,HK,2008995090,E,홍콩,아시아.태평양 경제협력체,조제한 해조류 김 제,수출,416.32,11292
202201,IQ,2008995090,E,이라크,,조제한 해조류 김 제,수출,24,399
202201,DE,2008995090,E,독일,유럽연합/경제협력개발기구,조제한 해조류 김 제,수출,11004.66,32672
202201,DE,2008995090,I,독일,유럽연합/경제협력개발기구,조제한 해조류 김 제,수입,.6,20
202201,TW,2008995090,E,대만,아시아.태평양 경제협력체,조제한 해조류 김 제,수출,12,128
202201,SE,2008995090,E,스웨덴,유럽연합/경제협력개발기구,조제한 해조류 김 제,수출,19800,49912
202201,NL,2008995090,E,네덜란드,유럽연합/경제협력개발기구,조제한 해조류 김 제,수출,11000,32670
202201,BE,2008995090,E,벨기에,유럽연합/경제협력개발기구,조제한 해조류 김 제,수출,35000,103512
202201,CA,2008995090,E,캐나다,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,조제한 해조류 김 제,수출,2688.8,9546
202201,CA,2008995090,I,캐나다,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,조제한 해조류 김 제,수입,.657,1
202201,TH,2008995090,I,태국,동남아국가연합/아시아.태평양 경제협력체,조제한 해조류 김 제,수입,.1,1
202201,ID,2008995090,E,인도네시아,동남아국가연합/아시아.태평양 경제협력체,조제한 해조류 김 제,수출,36,942
202201,VN,2008995090,I,베트남,동남아국가연합,조제한 해조류 김 제,수입,1551.947,9022
202201,JP,2008995090,E,일본,아시아.태평양 경제협력체/경제협력개발기구,조제한 해조류 김 제,수출,6603.5,11836
202201,JP,2008995090,I,일본,아시아.태평양 경제협력체/경제협력개발기구,조제한 해조류 김 제,수입,13.955,537
202201,PH,2008995090,E,필리핀,동남아국가연합/아시아.태평양 경제협력체,조제한 해조류 김 제,수출,1456.11,20832
202201,NZ,2008995090,E,뉴질랜드,아시아.태평양 경제협력체/경제협력개발기구,조제한 해조류 김 제,수출,360,901
202201,US,2008995090,E,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,조제한 해조류 김 제,수출,106902.61,463984
202201,US,2008995090,I,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,조제한 해조류 김 제,수입,3.512,102
202201,PW,2008995090,E,팔라우,,조제한 해조류 김 제,수출,39.32,780
202201,AU,2008995090,E,오스트레일리아,아시아.태평양 경제협력체/경제협력개발기구,조제한 해조류 김 제,수출,10800,79397
202201,AU,2008995090,I,오스트레일리아,아시아.태평양 경제협력체/경제협력개발기구,조제한 해조류 김 제,수입,.98,6
202201,PL,2008995090,E,폴란드,유럽연합,조제한 해조류 김 제,수출,1168,31376
202201,CN,2008995090,I,중국,아시아.태평양 경제협력체,조제한 해조류 김 제,수입,951.266,14143
202201,NO,2008995090,I,노르웨이,경제협력개발기구/유럽자유무역연합,조제한 해조류 김 제,수입,.5,2
202201,GB,2008995090,E,영국,유럽연합/경제협력개발기구,조제한 해조류 김 제,수출,27667.9,134539
202201,MP,2008995090,E,북마리아나제도,,조제한 해조류 김 제,수출,18.5,325
202201,PH,0307723000,E,필리핀,동남아국가연합/아시아.태평양 경제협력체,바지락,수출,119.15,215
202201,PT,0307723000,E,포르투갈,유럽연합/경제협력개발기구,바지락,수출,22002,116911
202201,CN,0307723000,I,중국,아시아.태평양 경제협력체,바지락,수입,299311,573991
202201,KW,0307723000,E,쿠웨이트,걸프협력회의,바지락,수출,120,676
202201,ES,0307723000,E,스페인,유럽연합/경제협력개발기구,바지락,수출,22002,113513
202201,CN,0307725000,I,중국,아시아.태평양 경제협력체,개조개,수입,28450,177138
202201,IE,0307729000,I,아일랜드,유럽연합/경제협력개발기구,,수입,180,2933
202201,HK,0307729000,E,홍콩,아시아.태평양 경제협력체,,수출,200,5219
202201,CA,0307729000,I,캐나다,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,,수입,11240,170634
202201,TH,0307729000,I,태국,동남아국가연합/아시아.태평양 경제협력체,,수입,84000,149173
202201,ID,0307729000,I,인도네시아,동남아국가연합/아시아.태평양 경제협력체,,수입,20000,28015
202201,VN,0307729000,I,베트남,동남아국가연합,,수입,54030,94859
202201,PK,0307729000,I,파키스탄,,,수입,18960,23337
202201,CN,0307729000,E,중국,아시아.태평양 경제협력체,,수출,15040,155622
202201,CN,0307729000,I,중국,아시아.태평양 경제협력체,,수입,3502,47930
202201,KW,0307729000,E,쿠웨이트,걸프협력회의,,수출,500,575
202201,RU,0307929000,I,러시아,,,수입,276328,3325567
202201,PH,0307929000,I,필리핀,동남아국가연합/아시아.태평양 경제협력체,,수입,990,8395
202201,US,0307929000,E,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,,수출,8140,57531
202201,CN,0307929000,E,중국,아시아.태평양 경제협력체,,수출,421573.5,3601801
202201,CN,0307929000,I,중국,아시아.태평양 경제협력체,,수입,4604,26017
202201,HK,0307830000,E,홍콩,아시아.태평양 경제협력체,냉동한 전복,수출,518.4,24445
202201,LA,0307830000,E,라오스,동남아국가연합,냉동한 전복,수출,48.2,1239
202201,CA,0307830000,E,캐나다,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,냉동한 전복,수출,68,3128
202201,US,0307830000,E,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,냉동한 전복,수출,1056,45258
202201,SG,0307830000,E,싱가포르,동남아국가연합/아시아.태평양 경제협력체,냉동한 전복,수출,10,291
202201,JP,0302491000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,삼치,수출,1928.3,8673
202201,US,0302492000,E,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,병어,수출,25.8,850
202201,JP,0302911000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,간,수출,210,721
202201,IT,0302912000,I,이탈리아,유럽연합/경제협력개발기구,어란,수입,22.322,1820
202201,TW,0303591000,E,대만,아시아.태평양 경제협력체,삼치,수출,1675.62,7353
202201,TH,0303591000,E,태국,동남아국가연합/아시아.태평양 경제협력체,삼치,수출,24753,65108
202201,ID,0303591000,E,인도네시아,동남아국가연합/아시아.태평양 경제협력체,삼치,수출,13500,51964
202201,VN,0303591000,E,베트남,동남아국가연합,삼치,수출,295806.17,1158667
202201,JP,0303591000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,삼치,수출,282168.31,1206849
202201,US,0303591000,E,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,삼치,수출,1800,6533
202201,CN,0303591000,E,중국,아시아.태평양 경제협력체,삼치,수출,800137.5,2006230
202201,MY,0303591000,E,말레이시아,동남아국가연합/아시아.태평양 경제협력체,삼치,수출,21528,22857
202201,TW,0303592000,I,대만,아시아.태평양 경제협력체,꽁치,수입,3926751.011,11495766
202201,GU,0303592000,E,괌,,꽁치,수출,183.84,727
202201,JP,0303592000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,꽁치,수출,23590,78616
202201,NZ,0303592000,E,뉴질랜드,아시아.태평양 경제협력체/경제협력개발기구,꽁치,수출,270,2196
202201,CN,0303592000,I,중국,아시아.태평양 경제협력체,꽁치,수입,30315,102775
202201,MP,0303592000,E,북마리아나제도,,꽁치,수출,183.84,732
202201,LA,0303599000,E,라오스,동남아국가연합,,수출,30,173
202201,TW,0303599000,E,대만,아시아.태평양 경제협력체,,수출,40322,187701
202201,LK,0303599000,E,스리랑카,,,수출,30214,94207
202201,ID,0303599000,I,인도네시아,동남아국가연합/아시아.태평양 경제협력체,,수입,1872,5881
202201,VN,0303599000,E,베트남,동남아국가연합,,수출,170443,562501
202201,VN,0303599000,I,베트남,동남아국가연합,,수입,450,1051
202201,JP,0303599000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,,수출,20247,218665
202201,PH,0303599000,E,필리핀,동남아국가연합/아시아.태평양 경제협력체,,수출,1570,3297
202201,US,0303599000,E,미국,아시아.태평양 경제협력체/경제협력개발기구/북미자유무역연합,,수출,9228,53436
202201,CN,0303599000,I,중국,아시아.태평양 경제협력체,,수입,2081961,1384509
