"date","aptName","dong","household","floorAreaRate","numParkinglot","exclusiveArea","floor","price"
2020-01-15,"청담범신칼릭스빌2차","청담동",18,199,22,102.69,3,14.3
2020-01-15,"까치마을","수서동",1404,208,1410,34.44,9,7.95
2020-01-15,"도곡삼성래미안","도곡동",732,291,1122,84.89,7,19.2
2020-01-15,"현대벨라하우스","도곡동",8,212,17,244.59,2,19.5
2020-01-16,"역삼우정에쉐르1","역삼동",69,548,69,57.98,12,6.5
2020-01-16,"삼성펠리스(129-5)","삼성동",18,246,41,174.1,6,16.1
2020-01-16,"미성2차","압구정동",911,0,1093,118.63,5,27
2020-01-16,"타워팰리스3차","도곡동",480,791,1785,141.381,35,27
2020-01-17,"래미안블레스티지","개포동",1957,249,3153,59.897,4,18.8
2020-01-17,"삼성롯데캐슬킹덤","삼성동",118,234,276,170.8,12,29.5
2020-01-17,"청학","논현동",70,220,50,85.12,5,11
2020-01-17,"스위트케슬레지던스","논현동",17,266,38,203.17,6,24
2020-01-17,"까치마을","수서동",1404,208,1410,39.6,3,8.5
2020-01-18,"역삼예명","역삼동",15,237,21,67.08,3,5.8
2020-01-18,"삼환","청담동",184,264,185,84.88,1,14.4
2020-01-18,"청담스위트(도시형)","청담동",124,199,57,13.425,3,2.16
2020-01-18,"삼환","청담동",184,264,185,114.97,5,16.7
2020-01-18,"논현신동아파밀리에","논현동",644,245,684,84.52,11,14.4
2020-01-18,"영동한양1차","압구정동",936,211,561,78.05,6,21.3
2020-01-18,"래미안강남힐즈","자곡동",1020,159,1554,91.96,3,14.6
2020-01-18,"까치마을","수서동",1404,208,1410,39.6,2,8.4
2020-01-18,"신동아","수서동",1162,203,325,39.51,10,10
2020-01-20,"한화진넥스빌","역삼동",294,1045,213,39.2,13,3.58
2020-01-20,"역삼디오빌","역삼동",457,966,338,30.03,6,3.2
2020-01-20,"삼성팰리스(71-16)","삼성동",19,249,32,114.26,8,14.5
2020-01-20,"대치우성1차","대치동",476,179,498,84.69,2,20.8
2020-01-20,"논현신동아파밀리에","논현동",644,245,684,114.34,13,16.5
2020-01-20,"강남파라곤","논현동",58,789,41,120.21,12,15
2020-01-20,"논현두산위브2단지","논현동",136,244,176,83.464,9,13.7
2020-01-20,"삼익","수서동",645,224,650,60,15,12
2020-01-21,"테헤란로대우아이빌","대치동",371,1096,180,29.02,13,3.4
2020-01-21,"래미안개포루체하임","일원동",850,249,1301,101.97,22,25
2020-01-21,"로덴하우스웨스트빌리지","도곡동",19,248,74,273.68,19,54.5
2020-01-22,"루덴하우스","신사동",19,222,21,84.98,4,8.8
2020-01-22,"신현대(현대9,11,12차)","압구정동",1924,0,2800,108.88,4,28
2020-01-23,"동부센트레빌","대치동",805,297,1824,145.83,20,37
2020-01-23,"래미안신사","신사동",63,206,82,84.89,10,14.5
2020-01-23,"목련타운","일원동",650,249,975,134.71,2,18.5
2020-01-23,"대림아크로빌","도곡동",490,936,1662,177.255,20,23
2020-01-28,"지석천평대","역삼동",14,293,14,63.03,4,5.55
2020-01-28,"대청","개포동",822,0,700,39.53,3,10.7
2020-01-28,"대치2단지","개포동",1758,174,1758,39.53,3,10.7
2020-01-28,"강남데시앙파크","세곡동",546,169,850,114.69,4,12.5
2020-01-28,"세곡푸르지오","세곡동",912,174,1148,59.89,5,10.85
2020-01-28,"까치마을","수서동",1404,208,1410,39.6,8,8.99
2020-01-29,"도곡렉슬","도곡동",3002,274,4443,59.9772,19,16.48
2020-01-30,"청담자이","청담동",708,266,905,49.619,26,17.6
2020-01-30,"래미안삼성1차(101동)","삼성동",77,211,106,125.8,11,24.5
2020-01-30,"논현신동아파밀리에","논현동",644,245,684,35.73,11,8
2020-01-30,"현대1,2차","압구정동",960,224,720,196.21,14,47
2020-01-30,"세곡푸르지오","세곡동",912,174,1148,59.89,13,10.7
2020-01-30,"아카데미스위트","도곡동",414,996,808,122.07,35,16.85
2020-01-31,"대청","개포동",822,0,700,39.53,13,10.05
2020-01-31,"대치2단지","개포동",1758,174,1758,39.53,13,10.05
2020-01-31,"청담스위트(도시형)","청담동",124,199,57,13.425,3,2.3
2020-01-31,"한양수자인어반게이트(도시형)","논현동",108,249,37,16.2,3,2.12
2020-01-31,"삼익","수서동",645,224,650,84.48,2,13.9
2020-01-31,"삼익","수서동",645,224,650,60,2,11.9
2020-01-31,"대림아크로빌","도곡동",490,936,1662,172.464,30,23.7
2020-01-31,"개포우성5차","도곡동",180,179,144,70.89,7,14.95
2020-02-01,"경남","역삼동",164,384,228,84.688,4,14.9
2020-02-01,"역삼e-편한세상","역삼동",840,282,852,59.606,10,16.7
2020-02-01,"역삼우정에쉐르1","역삼동",69,548,69,71.78,2,7
2020-02-01,"청담현대3차","청담동",317,324,421,109.53,7,20
2020-02-01,"대치쌍용1차","대치동",630,169,670,83.56,13,20.5
2020-02-01,"래미안개포루체하임","일원동",850,249,1301,71.65,6,21.2
2020-02-01,"강남데시앙포레","수서동",787,165,957,84.92,2,15.1
2020-02-01,"대우양재디오빌","도곡동",155,882,123,25.89,15,2.66
2020-02-02,"압구정아인빌","신사동",14,243,17,84.36,5,9.8
2020-02-03,"한화진넥스빌","역삼동",294,1045,213,39.2,19,3.6
2020-02-03,"건영","청담동",240,397,418,84.595,16,19
2020-02-03,"풍림","삼성동",36,286,40,53.75,7,6.9
2020-02-03,"논현신동아파밀리에","논현동",644,245,684,35.73,9,8
2020-02-03,"도곡렉슬","도곡동",3002,274,4443,59.9818,5,18.5
2020-02-03,"도곡렉슬","도곡동",3002,274,4443,119.8906,1,26.3
2020-02-04,"현대3차","압구정동",432,0,864,82.5,1,21
2020-02-04,"까치마을","수서동",1404,208,1410,49.5,9,9.98
2020-02-05,"역삼푸르지오","역삼동",738,283,753,59.8848,11,17.1
2020-02-05,"진흥","청담동",375,178,375,180.67,11,29
2020-02-05,"선릉LG에클라트(A동)","삼성동",125,341,88,36.16,4,4.05
2020-02-05,"래미안신사","신사동",63,206,82,84.89,9,14.9
2020-02-05,"까치마을","수서동",1404,208,1410,34.44,6,7.6
2020-02-05,"신동아","수서동",1162,203,325,33.18,7,8.6
2020-02-05,"타워팰리스2차","도곡동",813,923,2376,164.99,24,25.85
2020-02-05,"타워팰리스3차","도곡동",480,791,1785,124.641,51,21.5
2020-02-06,"개포주공5단지","개포동",940,151,912,61.19,14,17.7
2020-02-06,"개포주공6단지","개포동",1060,0,300,53.46,12,15.45
2020-02-06,"개포주공7단지","개포동",900,0,400,53.46,12,15.45
2020-02-07,"청담e-편한세상2차(204동)","청담동",41,234,62,98.05,7,16.5
2020-02-07,"삼성힐스테이트1단지","삼성동",1144,276,1529,84.236,10,23.5
2020-02-07,"동현","논현동",548,174,1096,84.92,5,16.5
2020-02-07,"현대3차","압구정동",432,0,864,82.5,7,22.3
2020-02-07,"대림아크로빌","도곡동",490,936,1662,172.467,29,21.9
2020-02-07,"도곡렉슬","도곡동",3002,274,4443,114.9931,4,24.1
2020-02-07,"원팰리스","도곡동",19,260,21,103.23,3,9.5
2020-02-08,"역삼노블카운티","역삼동",16,221,18,81.85,1,7.2
2020-02-08,"서광","삼성동",304,366,304,59.67,4,14.6
2020-02-08,"한양수자인어반게이트(도시형)","논현동",108,249,37,16.2,6,2.15
2020-02-08,"세곡푸르지오","세곡동",912,174,1148,59.89,6,10.9
2020-02-08,"강남LH1단지(e편한세상)","세곡동",809,173,998,59.99,10,10.8
2020-02-08,"까치마을","수서동",1404,208,1410,39.6,4,8.4
2020-02-08,"도곡렉슬","도곡동",3002,274,4443,84.9984,16,23
2020-02-09,"역삼e-편한세상","역삼동",840,282,852,59.947,12,17.9
2020-02-10,"SK허브젠","역삼동",56,649,45,71.91,6,9
2020-02-10,"삼성풍림2차","삼성동",112,275,134,93.78,2,14.6
2020-02-10,"테헤란로대우아이빌","대치동",371,1096,180,33.11,14,3.6
2020-02-10,"도곡한라비발디","도곡동",110,249,156,84.9569,2,17.25
2020-02-11,"역삼디오빌","역삼동",457,966,338,30.03,7,3.25
2020-02-11,"역삼노블카운티","역삼동",16,221,18,81.85,1,7.35
2020-02-11,"대청","개포동",822,0,700,39.53,8,10.05
2020-02-11,"대치2단지","개포동",1758,174,1758,39.53,8,10.05
2020-02-11,"우성3차","개포동",405,179,450,161,15,27
2020-02-11,"삼성청담공원","청담동",391,271,554,59.93,9,13.3
2020-02-11,"은마","대치동",4424,204,3021,76.79,4,19.2
2020-02-11,"한보미도맨션1,2차","대치동",2436,179,2906,128.01,13,30.3
2020-02-11,"은마","대치동",4424,204,3021,84.43,3,20.5
2020-02-11,"삼익","수서동",645,224,650,60,3,11.55
2020-02-11,"경남","도곡동",348,356,389,59.76,5,13.2
2020-02-11,"극동스타클래스","도곡동",96,629,142,112.75,12,12.9
2020-02-12,"역삼래미안","역삼동",1050,276,1066,59.4,14,15.5
2020-02-12,"역삼e-편한세상","역삼동",840,282,852,59.606,9,16.5
2020-02-12,"우성9차","개포동",232,249,311,84.9,9,19.9947
2020-02-12,"래미안블레스티지","개포동",1957,249,3153,59.967,8,17.5
2020-02-12,"개포상지리츠빌","개포동",18,202,41,161.07,6,21.5
2020-02-12,"삼성오네뜨","삼성동",48,253,136,153.53,7,17.3
2020-02-12,"은마","대치동",4424,204,3021,76.79,6,19.4
2020-02-12,"한보미도맨션1,2차","대치동",2436,179,2906,84.48,8,21.8
2020-02-12,"쌍용","논현동",111,333,105,59.91,12,8.99
2020-02-12,"현대13차","압구정동",234,150,201,108.47,7,26.4
2020-02-12,"래미안강남힐즈","자곡동",1020,159,1554,101.94,8,16
2020-02-12,"까치마을","수서동",1404,208,1410,39.6,15,8.5
2020-02-12,"까치마을","수서동",1404,208,1410,39.6,9,8.6
2020-02-12,"도곡렉슬","도곡동",3002,274,4443,84.9984,6,23
2020-02-13,"역삼래미안","역삼동",1050,276,1066,59.73,13,16.1
2020-02-13,"역삼푸르지오","역삼동",738,283,753,59.8848,6,15.7
2020-02-13,"래미안블레스티지","개포동",1957,249,3153,84.943,10,24.4
2020-02-13,"은마","대치동",4424,204,3021,84.43,14,20.7
2020-02-13,"현대8차","압구정동",515,173,0,107.64,12,23.6
2020-02-13,"까치마을","수서동",1404,208,1410,39.6,1,8.3
2020-02-13,"도곡렉슬","도곡동",3002,274,4443,84.9984,2,23.05
2020-02-14,"청담파라곤Ⅱ 1단지","청담동",18,249,52,195.88,3,26
2020-02-14,"청담스위트(도시형)","청담동",124,199,57,12.449,5,2.27
2020-02-14,"선릉LG에클라트(A동)","삼성동",125,341,88,36.16,3,3.25
2020-02-14,"선릉LG에클라트(B동)","삼성동",293,700,161,36.35,15,3.75
2020-02-14,"대치삼성1차","대치동",960,261,1259,97.35,11,23.2
2020-02-14,"은마","대치동",4424,204,3021,84.43,6,21.8
2020-02-14,"은마","대치동",4424,204,3021,84.43,14,21.4
2020-02-14,"은마","대치동",4424,204,3021,84.43,8,21
2020-02-14,"은마","대치동",4424,204,3021,84.43,11,20.7
2020-02-14,"한양수자인어반게이트(도시형)","논현동",108,249,37,16.2,4,2.2
2020-02-14,"가람","일원동",496,109,496,75.16,2,16.8
2020-02-14,"한솔마을","일원동",570,108,1140,84.73,4,16
2020-02-14,"샘터마을","일원동",628,249,950,101.97,11,17.5
2020-02-14,"타워팰리스1차","도곡동",1297,919,3695,164.97,19,26.5
2020-02-14,"도곡렉슬","도곡동",3002,274,4443,134.9023,14,32
2020-02-14,"타워팰리스2차","도곡동",813,923,2376,164.99,37,29.5
2020-02-15,"역삼래미안","역삼동",1050,276,1066,59.73,7,14.6
2020-02-15,"역삼롯데캐슬노블","역삼동",117,249,317,176.03,4,17.5
2020-02-15,"역삼e-편한세상","역삼동",840,282,852,59.606,1,15.3
2020-02-15,"건영","청담동",240,397,418,84.595,14,18.1
2020-02-15,"서광","삼성동",304,366,304,59.67,9,14.65
2020-02-15,"삼성힐스테이트2단지","삼성동",926,273,1291,84.236,11,24
2020-02-15,"한보미도맨션1,2차","대치동",2436,179,2906,84.48,10,22
2020-02-15,"한보미도맨션1,2차","대치동",2436,179,2906,84.96,4,22
2020-02-15,"미성2차","압구정동",911,0,1093,118.63,6,25.3
2020-02-15,"영동한양1차","압구정동",936,211,561,63.87,8,20
2020-02-15,"세곡푸르지오","세곡동",912,174,1148,84.83,8,13.25
2020-02-15,"세곡푸르지오","세곡동",912,174,1148,84.83,13,13.3
2020-02-15,"세곡푸르지오","세곡동",912,174,1148,59.89,5,10.95
2020-02-15,"까치마을","수서동",1404,208,1410,34.44,2,7.57
2020-02-15,"수서한아름","수서동",498,249,996,129.45,10,16.25
2020-02-15,"까치마을","수서동",1404,208,1410,34.44,4,7.7
2020-02-15,"도곡삼성래미안","도곡동",732,291,1122,59.96,7,15.7
2020-02-16,"대치대우아이빌멤버스4차","대치동",134,634,134,35.236,12,3.6
2020-02-16,"푸른마을","일원동",930,249,930,84.93,10,16
2020-02-17,"역삼래미안","역삼동",1050,276,1066,59.4,13,16.58
2020-02-17,"경남","개포동",678,174,816,96.98,2,19.7
2020-02-17,"대청","개포동",822,0,700,33.18,10,9.4
2020-02-17,"대치2단지","개포동",1758,174,1758,33.18,10,9.4
2020-02-17,"삼성롯데","삼성동",339,337,418,84.87,14,18
2020-02-17,"청암빌라트","대치동",18,242,22,163.8,7,16
2020-02-17,"한보미도맨션1,2차","대치동",2436,179,2906,84.96,9,22.3
2020-02-17,"미성2차","압구정동",911,0,1093,74.4,13,19.5
2020-02-17,"현대빌라트","압구정동",19,237,31,181.81,5,35
2020-02-17,"강남LH1단지(e편한세상)","세곡동",809,173,998,59.89,9,10.82
2020-02-17,"도곡렉슬","도곡동",3002,274,4443,84.9984,10,23.1
2020-02-18,"대청","개포동",822,0,700,51.12,7,12.3
2020-02-18,"대치2단지","개포동",1758,174,1758,51.12,7,12.3
2020-02-18,"개포주공5단지","개포동",940,151,912,83.17,12,19.8
2020-02-18,"목화","청담동",19,336,12,133.97,4,18
2020-02-18,"강남LH1단지(e편한세상)","세곡동",809,173,998,59.99,10,10.4
2020-02-18,"도곡지웰카운티","도곡동",37,0,63,107.11,5,16.8
2020-02-19,"세방하이빌","역삼동",67,299,67,59.77,6,9.9
2020-02-19,"역삼우정에쉐르1","역삼동",69,548,69,59.81,4,7.2
2020-02-19,"개포주공6단지","개포동",1060,0,300,60.13,2,16.77
2020-02-19,"개포주공7단지","개포동",900,0,400,60.13,2,16.77
2020-02-19,"현대2차","청담동",214,200,214,84.92,4,14.7
2020-02-19,"삼성풍림2차","삼성동",112,275,134,59.94,3,14.4
2020-02-19,"선릉LG에클라트(B동)","삼성동",293,700,161,36.47,15,3.7
2020-02-19,"아이파크삼성","삼성동",449,296,1253,195.388,23,57
2020-02-19,"은마","대치동",4424,204,3021,84.43,9,21.75
2020-02-19,"래미안대치하이스턴","대치동",354,347,461,110.39,6,23
2020-02-19,"논현아트빌","논현동",11,242,14,90.38,2,9.68
2020-02-19,"아크로힐스논현","논현동",368,299,645,113.231,14,22.8
2020-02-19,"한양수자인어반게이트(도시형)","논현동",108,249,37,16.2,3,2.1
2020-02-19,"래미안강남힐즈","자곡동",1020,159,1554,91.96,7,14.45
2020-02-19,"목련타운","일원동",650,249,975,134.71,11,20
2020-02-19,"까치마을","수서동",1404,208,1410,39.6,12,8.98
2020-02-19,"수서한아름","수서동",498,249,996,163.68,10,18.15
2020-02-19,"도곡렉슬","도곡동",3002,274,4443,84.9984,7,23
2020-02-19,"도곡렉슬","도곡동",3002,274,4443,59.9937,22,16.2
2020-02-20,"역삼래미안","역삼동",1050,276,1066,59.4,9,16
2020-02-20,"대청","개포동",822,0,700,33.18,9,9.65
2020-02-20,"대치2단지","개포동",1758,174,1758,33.18,9,9.65
2020-02-20,"삼성롯데","삼성동",339,337,418,91.77,9,18.7
2020-02-20,"홍실","삼성동",384,172,420,96.32,5,23.5
2020-02-20,"개포우성2차","대치동",450,0,540,84.69,8,24.75
2020-02-20,"선릉역대우아이빌5차","대치동",150,694,154,28.34,11,2.6
2020-02-20,"은마","대치동",4424,204,3021,76.79,5,19.3
2020-02-20,"은마","대치동",4424,204,3021,84.43,8,21.8
2020-02-20,"논현신동아파밀리에","논현동",644,245,684,114.34,12,17.2
2020-02-20,"까치마을","수서동",1404,208,1410,34.44,8,7.9
2020-02-20,"도곡렉슬","도곡동",3002,274,4443,59.9772,10,16
2020-02-20,"래미안도곡카운티","도곡동",397,261,510,71.85,20,22
2020-02-21,"대우디오빌플러스","역삼동",168,861,289,34.41,4,3.19
2020-02-21,"래미안블레스티지","개포동",1957,249,3153,84.943,9,24.3
2020-02-21,"한솔","삼성동",263,0,263,58.57,1,13
2020-02-21,"대치우성1차","대치동",476,179,498,115.59,14,23
2020-02-21,"한양수자인어반게이트(도시형)","논현동",108,249,37,16.2,6,2.2
2020-02-21,"까치마을","수서동",1404,208,1410,39.6,6,8.7
2020-02-21,"신동아","수서동",1162,203,325,33.18,8,8.49
2020-02-22,"역삼e-편한세상","역삼동",840,282,852,59.606,18,16.3
2020-02-22,"더블루","역삼동",68,370,50,70.57,5,8.685
2020-02-22,"신사씨티빌","신사동",17,298,16,55.273,4,6
2020-02-22,"목련타운","일원동",650,249,975,99.79,7,18.5
2020-02-22,"수서1-2단지","일원동",720,177,529,39.98,10,8.6
2020-02-22,"신동아","수서동",1162,203,325,33.18,9,8.55
2020-02-24,"강남역우정에쉐르","역삼동",52,536,39,16.78,8,2.15
2020-02-24,"역삼2차아이파크","역삼동",150,273,200,84.587,8,19
2020-02-24,"우성6차","개포동",270,106,270,54.98,4,14.4
2020-02-24,"삼성한일","삼성동",127,285,137,70.05,7,15
2020-02-24,"대치우성1차","대치동",476,179,498,115.59,5,22.7
2020-02-24,"대치아이파크","대치동",768,274,1171,119.58,13,30.5
2020-02-24,"은마","대치동",4424,204,3021,76.79,12,19.45
2020-02-24,"로데오현대","신사동",138,308,124,90.94,16,12
2020-02-24,"힐스빌7차","논현동",9,268,19,139.46,2,11.975
2020-02-24,"강남LH1단지(e편한세상)","세곡동",809,173,998,59.86,8,10.5
2020-02-24,"목련타운","일원동",650,249,975,99.79,14,18.2
2020-02-24,"우성캐릭터199","도곡동",199,620,902,164.97,20,21.45
2020-02-24,"현대비젼21","도곡동",232,990,291,33.1,20,3.7
2020-02-24,"포스코트","도곡동",64,295,204,200.9,9,24
2020-02-25,"선릉역우정에쉐르멤버스","역삼동",34,548,30,22.12,10,2.7
2020-02-25,"래미안그레이튼2차","역삼동",464,266,626,120.37,24,24
2020-02-25,"강남역우정에쉐르","역삼동",52,536,39,17.23,11,2
2020-02-25,"목련타운","일원동",650,249,975,134.71,8,22
2020-02-25,"도곡렉슬","도곡동",3002,274,4443,59.9937,10,16.4
2020-02-26,"대청","개포동",822,0,700,51.12,8,12.675
2020-02-26,"대치2단지","개포동",1758,174,1758,51.12,8,12.675
2020-02-26,"LG개포자이","개포동",212,250,502,134.3,7,20.6
2020-02-26,"삼성팰리스(71-16)","삼성동",19,249,32,114.26,3,14.8
2020-02-26,"삼성센트럴아이파크","삼성동",416,299,743,84.95,12,26.1
2020-02-26,"한보미도맨션1,2차","대치동",2436,179,2906,126.33,11,28.57
2020-02-26,"테헤란로대우아이빌","대치동",371,1096,180,65.24,20,5.99
2020-02-26,"한보미도맨션1,2차","대치동",2436,179,2906,84.96,1,21.6
2020-02-26,"한양5차","압구정동",343,192,172,115.24,5,26
2020-02-26,"도곡렉슬","도곡동",3002,274,4443,84.9984,16,23
2020-02-27,"역삼푸르지오","역삼동",738,283,753,84.9097,6,20.6
2020-02-27,"강남역이스턴(도시형)","역삼동",98,687,31,14.92,14,2
2020-02-27,"강남역이스턴(도시형)","역삼동",98,687,31,15.25,12,2
2020-02-27,"청담현대3차","청담동",317,324,421,109.53,22,23.7
2020-02-27,"삼성포스코더샵","삼성동",72,849,140,160.53,17,23
2020-02-27,"한보미도맨션1,2차","대치동",2436,179,2906,128.01,13,29.8
2020-02-27,"강남데시앙파크","세곡동",546,169,850,84.97,7,10.5
2020-02-27,"신동아","수서동",1162,203,325,33.18,13,8.98
2020-02-28,"개포주공6단지","개포동",1060,0,300,53.06,12,15.7
2020-02-28,"개포주공7단지","개포동",900,0,400,53.06,12,15.7
2020-02-28,"청담현대3차","청담동",317,324,421,59.95,13,13.8
2020-02-28,"대치쌍용1차","대치동",630,169,670,128.03,4,25.1
2020-02-28,"쌍용","논현동",111,333,105,59.91,3,9.1
2020-02-28,"강남LH1단지(e편한세상)","세곡동",809,173,998,59.89,15,10.92
2020-02-28,"대림아크로빌","도곡동",490,936,1662,130.545,16,17
2020-02-29,"진넥스빌2","역삼동",56,545,43,23.85,10,2.24
2020-02-29,"대청","개포동",822,0,700,49.86,14,12.5
2020-02-29,"대치2단지","개포동",1758,174,1758,49.86,14,12.5
2020-02-29,"개포주공5단지","개포동",940,151,912,61.19,10,17
2020-02-29,"대치삼성1차","대치동",960,261,1259,97.35,5,23.4
2020-02-29,"은마","대치동",4424,204,3021,84.43,11,21.5
2020-02-29,"삼성","수서동",680,211,1020,84.97,7,15.4
2020-02-29,"도곡쌍용예가","도곡동",384,298,418,112.13,5,19.45
2020-02-29,"래미안도곡카운티","도곡동",397,261,510,59.98,17,19
2020-03-02,"연세2차","청담동",13,399,16,125.64,13,18.5
2020-03-02,"청담범신칼릭스빌2차","청담동",18,199,22,102.69,5,14.8
2020-03-02,"대성아트빌","신사동",19,260,18,78.51,3,7.15
2020-03-02,"미성2차","압구정동",911,0,1093,74.4,16,20.9
2020-03-02,"양재SK허브프리모","도곡동",176,629,261,33.8,17,3.75
2020-03-03,"대청","개포동",822,0,700,49.86,4,12.4
2020-03-03,"대치2단지","개포동",1758,174,1758,49.86,4,12.4
2020-03-03,"청담자이","청담동",708,266,905,82.952,14,23.9
2020-03-03,"래미안강남힐즈","자곡동",1020,159,1554,101.94,9,15.6
2020-03-03,"까치마을","수서동",1404,208,1410,49.5,11,11.45
2020-03-03,"신동아","수서동",1162,203,325,33.18,2,8.4
2020-03-03,"현대비젼21","도곡동",232,990,291,34.995,23,3.4
2020-03-04,"래미안그레이튼2차","역삼동",464,266,626,121.54,33,24.9
2020-03-04,"까치마을","수서동",1404,208,1410,49.5,14,11.5
2020-03-04,"신동아","수서동",1162,203,325,39.51,13,9.4
2020-03-04,"타워팰리스1차","도곡동",1297,919,3695,164.95,48,30.85
2020-03-04,"도곡렉슬","도곡동",3002,274,4443,120.8233,20,26.5
2020-03-04,"타워팰리스3차","도곡동",480,791,1785,163.567,51,29.8
2020-03-05,"대명벨리온(도시형)","역삼동",71,248,24,17.684,3,2.1
2020-03-05,"대원칸타빌","신사동",130,293,170,113.31,5,16.5
2020-03-05,"상록수","일원동",740,109,962,74.54,1,15.7
2020-03-05,"삼성","도곡동",231,139,208,73.41,8,16
2020-03-05,"도곡한신","도곡동",421,212,0,84.74,1,16
2020-03-06,"역삼푸르지오","역삼동",738,283,753,59.8848,21,16.7
2020-03-06,"대청","개포동",822,0,700,49.86,10,12.35
2020-03-06,"대치2단지","개포동",1758,174,1758,49.86,10,12.35
2020-03-06,"삼성SK뷰","삼성동",41,236,67,84.88,7,16.5
2020-03-06,"삼성SK뷰","삼성동",41,236,67,117.42,7,18.7
2020-03-07,"역삼우성빌라트","역삼동",19,267,23,129.72,1,8.3
2020-03-07,"테헤란아이파크","역삼동",411,255,589,92.6232,21,24.3
2020-03-07,"역삼월드메르디앙","역삼동",93,232,119,81.76,7,12.5
2020-03-07,"지석천평대","역삼동",14,293,14,59.77,7,5.2
2020-03-07,"개포주공6단지","개포동",1060,0,300,53.06,11,15.85
2020-03-07,"개포주공7단지","개포동",900,0,400,53.06,11,15.85
2020-03-07,"삼성지웰팰리스","삼성동",16,748,17,84.32,14,9.8
2020-03-07,"대치대우아이빌멤버스4차","대치동",134,634,134,36.566,8,3.5
2020-03-07,"월드쉐르빌","논현동",15,243,14,68.86,2,5.8
2020-03-07,"미성2차","압구정동",911,0,1093,74.4,11,19.5
2020-03-07,"강남LH1단지(e편한세상)","세곡동",809,173,998,74.74,8,12.3
2020-03-07,"목련타운","일원동",650,249,975,134.71,2,19.9
2020-03-07,"푸른마을","일원동",930,249,930,59.76,10,13.1
2020-03-07,"푸른마을","일원동",930,249,930,84.93,15,15.7
2020-03-07,"까치마을","수서동",1404,208,1410,39.6,14,8.9
2020-03-07,"수서한아름","수서동",498,249,996,97.63,1,14.1
2020-03-07,"삼익","도곡동",247,177,272,153.71,6,19.1
2020-03-08,"도곡렉슬","도곡동",3002,274,4443,84.9231,18,22.9
2020-03-09,"역삼한스빌","역삼동",216,376,154,52.27,2,3.9
2020-03-09,"강남역우정에쉐르","역삼동",52,536,39,26.68,13,3.28
2020-03-09,"경남","개포동",678,174,816,149.21,5,24.7
2020-03-09,"선릉LG에클라트(A동)","삼성동",125,341,88,36.16,5,3.4
2020-03-09,"동부센트레빌","대치동",805,297,1824,121.74,4,32.5
2020-03-09,"논현프라임(192-3)","논현동",19,255,34,134.28,6,11.8
2020-03-09,"푸른마을","일원동",930,249,930,84.93,1,15
2020-03-09,"삼익","수서동",645,224,650,60,9,11.65
2020-03-10,"테헤란아이파크","역삼동",411,255,589,92.6232,1,22.1
2020-03-10,"아델하우스","삼성동",14,199,47,206.1,3,29.2
2020-03-10,"은마","대치동",4424,204,3021,76.79,2,19.5
2020-03-10,"한양5차","압구정동",343,192,172,153.59,13,34
2020-03-10,"한양8차","압구정동",90,195,108,210.1,12,48
2020-03-10,"상록수","일원동",740,109,962,74.54,4,16
2020-03-10,"수서1-2단지","일원동",720,177,529,59.94,14,11
2020-03-10,"삼익","수서동",645,224,650,60,15,8.5
2020-03-10,"강남데시앙포레","수서동",787,165,957,84.86,10,15.5
2020-03-10,"삼성","도곡동",231,139,208,73.41,10,13.8
2020-03-10,"도곡지웰카운티","도곡동",37,0,63,107.11,4,16.6
2020-03-10,"도곡렉슬","도곡동",3002,274,4443,84.9231,3,23.2
2020-03-11,"래미안블레스티지","개포동",1957,249,3153,84.94,15,26.3
2020-03-11,"건영","청담동",240,397,418,84.595,5,19
2020-03-11,"청담스위트(도시형)","청담동",124,199,57,13.425,6,2.45
2020-03-11,"선경1,2차","대치동",1034,179,1661,84.35,3,25.96
2020-03-11,"도곡렉슬","도곡동",3002,274,4443,84.9984,9,23.9
2020-03-12,"개포주공6단지","개포동",1060,0,300,83.21,4,20
2020-03-12,"개포주공7단지","개포동",900,0,400,83.21,4,20
2020-03-12,"청담휴먼스타빌","청담동",191,1102,142,35.905,20,5.93
2020-03-12,"논현두산위브1단지","논현동",130,226,174,84.993,2,15
2020-03-12,"래미안강남힐즈","자곡동",1020,159,1554,101.95,4,16.1
2020-03-12,"샘터마을","일원동",628,249,950,101.97,4,18
2020-03-12,"신동아","수서동",1162,203,325,49.96,9,10.85
2020-03-12,"강남데시앙포레","수서동",787,165,957,59.81,4,12.5
2020-03-12,"도곡삼성래미안","도곡동",732,291,1122,122.81,24,23.75
2020-03-13,"현대1,2차","압구정동",960,224,720,131.48,6,29.75
2020-03-13,"신현대(현대9,11,12차)","압구정동",1924,0,2800,108.88,2,23.95
2020-03-14,"대청","개포동",822,0,700,33.18,7,9.1
2020-03-14,"대치2단지","개포동",1758,174,1758,33.18,7,9.1
2020-03-14,"풍림1차","삼성동",252,366,285,59.7,11,14.99
2020-03-14,"개포우성2차","대치동",450,0,540,127.78,1,29.5
2020-03-14,"현대6,7차","압구정동",1288,210,1120,144.2,9,35
2020-03-14,"현대65동(대림아크로빌)","압구정동",56,240,89,144.2,9,35
2020-03-14,"삼성","수서동",680,211,1020,84.97,14,15.75
2020-03-14,"현대비젼21","도곡동",232,990,291,34.995,22,3.57
2020-03-14,"대우양재디오빌","도곡동",155,882,123,25.89,4,2.8
